sample pop cont Fped Fas Fhom Funi.un Funi.we FROHs.BCFTools.100KB FROHs.PLINK.100KB FROHs.BCFTools.1MB FROHs.PLINK.1MB
65 NA NA 0 -0.0196107844076649 -0.0196537389207165 0.00942409013132485 0.00359565186193212 0.04569443 0.0518935 0 0
66 NA NA 0 -0.0149557823857203 -0.0149985407912496 -0.00707165065166873 -0.012279378635399 0.05427886 0.062231 0 0
67 NA NA 0 -0.0251052130237299 -0.0251483990079564 0.00708552241710087 0.000611068192353235 0.05992922 0.065256 0 0
68 NA NA 0 0.0237850267914447 0.0237439004720196 0.0122256890520063 0.0328429720135877 0.081402695 0.091498 0.03954264 0.0395654
69 NA NA 0 -0.0289589442058314 -0.0290022925413675 -0.00797335554832735 -0.0113340324522312 0.042462945 0.0524055 0 0
70 NA NA 0 -0.0369589340195009 -0.0370026193813533 -0.00345815659697335 -0.00630335146192385 0.04358331 0.0484396 0 0
71 NA NA 0 0.00366422570205652 0.00362225172661845 0.0177340516905306 0.0244162260962597 0.070656955 0.0767445 0 0
72 NA NA 0 -0.021722069477728 -0.0217651129357208 0.00235514493632259 0.00454487330214784 0.04760962 0.0593415 0 0
73 NA NA 0 -0.0120813822300931 -0.0121240195419066 0.014057581913536 0.023598561792705 0.064671285 0.0722475 0.00620082 0.00634195
74 NA NA 0 0.000446423757925433 0.000404314221822966 0.0472605369778953 0.0169186330570503 0.069617825 0.0774245 0.015349595 0.0155203
75 NA NA 0 -0.0279287388403196 -0.0279720437750102 -0.00716563096609817 -0.0153745858001401 0.043958295 0.047554 0 0
76 NA NA 0 -0.0306886717331115 -0.0307320929392023 -0.00658092644548736 -0.0119315985823735 0.043686945 0.050639 0 0
77 NA NA 0 -0.0137729540030941 -0.0138156625780244 0.00428961765755926 0.0151368361604384 0.05012705 0.0544135 0 0
78 NA NA 0 -0.0156171487932113 -0.01565993506101 0.00187090206883875 0.00457292491509741 0.0608842 0.064201 0.005695485 0.00573945
79 NA NA 0 -0.00588743145226178 -0.00592980782318953 0.00489470958378936 0.0122271207930006 0.05657771 0.0634105 0.005830405 0.0058439
80 NA NA 0 -0.00394148798406966 -0.00398378237562547 0.0166487896399932 0.0214208113339023 0.06011436 0.0615945 0.007235115 0.00739355
