sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG00580 CHS EAS 0.0141694792795137 0.214977382894861 -0.000266757355390359 0.0134905272713471 -0.000268413605643629 0.0941286690191001 0.2101251946875 0.2101248353125 0.2593253125 0.2594278125 0.0116576603125 0.0116576603125 0.00891040625 0.0089104375
HG00581 CHS EAS 0.015853262178465 0.216318189078268 0.00380061944980576 0.0138693142620301 0.00382421684118793 0.0952656037488703 0.212365930625 0.2123657184375 0.25996375 0.2601471875 0.0124989484375 0.0124989484375 0.00394653125 0.00394671875
HG00583 CHS EAS 0.0101489876262275 0.21177584184559 -0.0022452164110595 0.00947341676804685 -0.00225915657135057 0.0944946007989139 0.21099778875 0.21099886125 0.258053125 0.258343125 0.01071124375 0.01071124375 0.00388825 0.00388825
HG00584 CHS EAS 0.00373658937401439 0.20666961156354 0.000419065324221085 0.0117459910246859 0.000421667227345557 0.0922569304075802 0.208815340625 0.20881538125 0.2588621875 0.25912125 0.00897278 0.00897278 0.0054028125 0.0054028125
HG00589 CHS EAS 0.0280186682150781 0.226005573151169 0.00987250653579666 0.0129592352070795 0.00993380322657311 0.103298152055528 0.218430043125 0.218430418125 0.265245 0.2654159375 0.0158685459375 0.0158685459375 0.007846 0.007846
HG00590 CHS EAS 0.0124946473823861 0.213643704446632 -0.00213336413983601 0.0134400648877557 -0.00214660983033158 0.0891872178201994 0.2097219959375 0.2097223915625 0.260085 0.260234375 0.01335376 0.01335376 0.00408840625 0.00408840625
HG00592 CHS EAS 0.0149621402189487 0.215608583443103 0.004836457136003 0.01140573888574 0.00486648586362541 0.0937661701195387 0.21403335375 0.21403304625 0.261486875 0.2617840625 0.01202603125 0.01202603125 0.00610209375 0.00610209375
HG00593 CHS EAS 0.00814893599610633 0.210183189019347 -0.00140547747843354 0.0109661927285563 -0.00141420384612959 0.095217206669954 0.2191387515625 0.2191390778125 0.25970875 0.25986 0.0192497615625 0.0192497615625 0.00508521875 0.00508521875
HG00595 CHS EAS 0.0148273779136887 0.215501271430196 -0.0014467849219707 0.0139714963554567 -0.00145576776076504 0.0945456718326137 0.2102350475 0.2102347534375 0.259971875 0.260294375 0.0085593340625 0.0085593340625 0.00338303125 0.00338303125
HG00596 CHS EAS 0.0320098204734919 0.229183751068484 0.00540130265198046 0.0094381615499558 0.00543483840894015 0.104119330450188 0.228031314375 0.228000040625 0.27145625 0.2716171875 0.01471359125 0.01471359125 0.0082199375 0.0082199375
HG00598 CHS EAS 0.00395439708510291 0.206843053119454 -0.00232292169304498 0.0144814292213794 -0.00233734431312021 0.0937984529235345 0.208418816875 0.208418324375 0.257371875 0.25763875 0.00981498625 0.00981498625 0.006660875 0.006660875
HG00599 CHS EAS 0.00187826193946424 0.205189814544231 0.00387956917191163 0.0118652337315137 0.00390365674756259 0.0937968866709307 0.2028892284375 0.2028885871875 0.2543125 0.2545128125 0.0107157053125 0.0107157053125 0.00421034375 0.00421034375
HG00607 CHS EAS 0.0211278886430801 0.220518405022564 0.00378391533804465 0.010737355326783 0.00380740901581902 0.0984642974437998 0.217151164375 0.2171511275 0.2615903125 0.2617603125 0.0136091959375 0.0136091959375 0.0067458125 0.0067458125
HG00608 CHS EAS 0.0174883118452561 0.2176201887035 0.00239471056481236 0.0113258346526518 0.00240957890975114 0.0976474639686283 0.217447399375 0.2174478559375 0.26579375 0.2659403125 0.01212972875 0.01212972875 0.0071526875 0.0071526875
HG00610 CHS EAS 0.0200507847567469 0.21966070088988 0.00735865959240697 0.0109547399792704 0.00740434824055899 0.0996309231158041 0.219288780625 0.2193209125 0.2639828125 0.2641746875 0.012786514375 0.012786514375 0.00697984375 0.00697984375
