sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG02318 ACB AFR 0.0107240957217754 -0.118783172495506 0.00846491381468131 0.0205947543327501 0.00846491381835601 0.141167955296449 0.0636727609375 0.06367287375 0.08479625 0.084874375 0.0031654703125 0.0031654703125 0.0007414125 0.0007414125
HG02322 ACB AFR 0.00836550473591444 -0.121450529391964 0.0029585239010306 0.0141470612993669 0.00295852389975495 0.105147557727099 0.0600553975 0.060055345 0.085715625 0.085898125 0.00252836625 0.00252836625 0.001454525 0.001454525
HG02323 ACB AFR 0.00629473468092937 -0.123792386382121 0.00783004884867601 0.0199886322194726 0.00783004885246823 0.136391462195072 0.06345577125 0.063455919375 0.0847921875 0.08483375 0.004929484375 0.004929484375 0.001239465625 0.001239465625
HG02325 ACB AFR 0.00501354637670351 -0.125241296549009 0.00460060881968906 0.0272682133246969 0.00460060881813253 0.141806306995536 0.0653418090625 0.0653407153125 0.0866715625 0.086710625 0.004070399375 0.004070399375 0.0010761 0.0010761
HG02330 ACB AFR -8.31950707715487e-05 -0.131005258393565 -0.00383571463890779 0.0162663219219339 -0.00383571463820186 0.103907564303607 0.05832565 0.0583257440625 0.082008125 0.082065 0.0053380484375 0.0053380484375 0.00256795 0.00256795
HG02332 ACB AFR -0.00506088649817748 -0.136634585240374 -0.00286246205667874 0.0253050243122892 -0.00286246205618469 0.1133288834227 0.0582239325 0.058223970625 0.0779984375 0.0780946875 0.0024609440625 0.0024609440625 0.00076395625 0.00076395625
HG02334 ACB AFR 0.00794427775313699 -0.121926899692804 0.00628626754344046 0.0223551423916553 0.00628626754204745 0.0637695283409541 0.0597837384375 0.0597837325 0.086160625 0.0862675 0.00456805375 0.00456805375 0.000813925 0.000813925
HG02337 ACB AFR 0.00548589483868853 -0.124707112396202 0.00492907139447409 0.0114815254152351 0.0049290713927476 0.116157619299892 0.0580598078125 0.0580597196875 0.0813128125 0.081446875 0.003555731875 0.003555731875 0.001145028125 0.001145028125
HG02339 ACB AFR 0.0292216676637386 -0.0978640617285311 0.0258860033113162 0.0303129904120101 0.0258860032998531 0.171858738970256 0.082429341875 0.0824294434375 0.104450625 0.104584375 0.023971914375 0.023971914375 0.0174133125 0.017413375
HG02343 ACB AFR 0.0127188838521886 -0.116527244312731 0.0063246514036301 0.0134832697979727 0.00632465140225708 0.0772157340255049 0.058299691875 0.058299690625 0.0859378125 0.0860871875 0.0026839703125 0.0026839703125 0.000765765625 0.000765765625
HG02419 ACB AFR 0.00591972711770724 -0.124216486625015 0.00485255442403251 0.0233432459387016 0.00485255442249587 0.130363488183296 0.0622679715625 0.0622680728125 0.0831996875 0.0832803125 0.0069463525 0.0069463525 0.001559509375 0.001559509375
